c;market;v;isin
MGI Digital Graphic Technology SA;XPAR;ALMDG; 
Michelin;XPAR;ML; 
Micropole;XPAR;ALMIC; 
Microwave Vision;XPAR;ALMIC; 
Miliboo SA;XPAR;ALMLB; 
MINT;XPAR;ALBUD; 
Moncey Fin Nom SA;XPAR;FMONC; 
Montagne et Neige Developpement SACA;XPAR;ALMND; 
Moulinvest;XPAR;ALMOU; 
Mr Bricolage;XPAR;ALMRB; 
MRM;XPAR;MRM; 
Munic SA;XPAR;ALMUN; 
MyHotelMatch;XPAR;MHM; 
Nacon SA;XPAR;NACON; 
NamR SA;XPAR;ALNMR; 
Nanobiotix SA;XPAR;NANO; 
Natixis SA;XPAR;KN; 
Navya SA;XPAR;NAVYA; 
Neoen SA;XPAR;NEOEN; 
Neolife SAS;XPAR;ALNLF; 
Neovacs SA;XPAR;ALNEV; 
Netgem SA;XPAR;ALNTG; 
Neurones;XPAR;NRO; 
News Invest;XPAR;MLNEI; 
Nexans;XPAR;NEX; 
Nexity SA;XPAR;NXI; 
Nextedia SA;XPAR;ALNXT; 
NFL Biosciences SA;XPAR;ALNFL; 
Nfty;XPAR;ALNFT; 
NHOA;XPAR;NHOA; 
Nicox SA;XPAR;COX; 
Novacyt SA;XPAR;ALNOV; 
NR21 SA;XPAR;NR21; 
Nrj Group;XPAR;NRG; 
NSC Groupe SA;XPAR;ALNSC; 
NSE SA;XPAR;ALNSE; 
Ober SA;XPAR;ALOBR; 
Obiz SA;XPAR;ALBIZ; 
Oeneo;XPAR;SBT; 
Olympique Lyonnais Groupe;XPAR;OLG; 
Omer-Decugis & Cie;XPAR;ALODC; 
Oncodesign Precision Medicine SA;XPAR;ALOPM; 
Oncodesign SA;XPAR;ALONC; 
Onlineformapro;XPAR;MLONL; 
Onxeo SA;XPAR;ALONX; 
Orange SA;XPAR;ORA; 
Orapi SA;XPAR;ORAP; 
Ordissimo SA;XPAR;ALORD; 
Orege;XPAR;OREGE; 
Orinoquia Real Estate Socimi SA;XPAR;MLORQ; 
Orpea SA;XPAR;ORP; 
OSE Immunotherapeutics SA;XPAR;OSE; 
Osmozis SA;XPAR;ALOSM; 
OVH Groupe;XPAR;OVH; 
Pacte Novation SA;XPAR;MLPAC; 
Paragon ID;XPAR;PID; 
Paref;XPAR;PAR; 
Parrot SA;XPAR;PARRO; 
Parx Materials NV;XPAR;MLPRX; 
Passat SA;XPAR;PSAT; 
Patrimoine et Commerce;XPAR;PAT; 
Paulic Meunerie SA;XPAR;ALPAU; 
PCAS SA;XPAR;PCA; 
Pernod Ricard SA;XPAR;RI; 
Perseida Renta Gestion Socimi SA;XPAR;MLPER; 
Peugeot Invest;XPAR;PEUG; 
Peugeot SA;XPAR;UG; 
Pharmasimple SA;XPAR;ALPHS; 
Pharnext SA;XPAR;ALPHA; 
Pherecydes Pharma;XPAR;ALPHE; 
Photonike Capital SA;XPAR;MLPHO; 
Pierre & Vacances;XPAR;VAC; 
Piscines Jean Desjoyaux;XPAR;ALPDX; 
Pixium Vision SA;XPAR;ALPIX; 
Plant Advanced Technologies Pat SA;XPAR;ALPAT; 
Plastic Omnium;XPAR;POM; 
Plasticos Compuestos SA;XPAR;ALKOM; 
Plastiques du Val-de-Loire;XPAR;PVL; 
Poujoulat SA;XPAR;ALPJT; 
Poulaillon SA;XPAR;ALPOU; 
Poxel SA;XPAR;POXEL; 
Precia SA;XPAR;PREC; 
Predilife SA;XPAR;ALPRE; 
Prismaflex International;XPAR;ALPRI; 
Proactis SA;XPAR;PROAC; 
Prodware SA;XPAR;ALPRO; 
Prodways Group SA;XPAR;PWG; 
Prologue SA;XPAR;ALPRG; 
PSB Industries SA;XPAR;PSB; 
Publicis Groupe SA;XPAR;PUB; 
Quadient SA;XPAR;QDT; 
Quadpack Industries SA;XPAR;ALQP; 
Quantum Genomics;XPAR;ALQGC; 
Qwamplify Activation;XPAR;ALQWA; 
Rallye SA;XPAR;RAL; 
Ramsay Generale de Sante SA;XPAR;GDS; 
Rapid Nutrition PLC;XPAR;ALRPD; 
Realites SCA;XPAR;ALREA; 
Remy Cointreau;XPAR;RCO; 
Renault SA;XPAR;RNO; 
Reworld Media;XPAR;ALREW; 
Rexel SA;XPAR;RXL; 
Riber;XPAR;ALRIB; 
Robertet SA;XPAR;RBT; 
Roche Bobois SA;XPAR;RBO; 
RocTool;XPAR;ALROC; 
Rothschild & Co SCA;XPAR;ROTH; 
Rousselet Centrifugation SA;XPAR;MLROU; 
Rubis SCA;XPAR;RUI; 
SAFE;XPAR;ALSAF; 
Safran SA;XPAR;SAF; 
Saint Jean Groupe;XPAR;SABE; 
Samse SA;XPAR;SAMS; 
Sanofi SA;XPAR;SAN; 
Sapmer;XPAR;ALMER; 
Sartorius Stedim Biotech SA;XPAR;DIM; 
Savencia SA;XPAR;SAVE; 
Schneider Electric SE;XPAR;SU; 
Scientia School SA;XPAR;MLSCI; 
Scientific Brain Training;XPAR;MLSBT; 
SCOR SE;XPAR;SCR; 
SEB SA;XPAR;SK; 
Seche Environnement SA;XPAR;SCHP; 
Selectirente;XPAR;SELER; 
Sensorion SA;XPAR;ALSEN; 
SergeFerrari Group SA;XPAR;SEFER; 
Serma Group SA;XPAR;ALSER; 
SES-imagotag SA;XPAR;SESL; 
SI Participation-O;XPAR;ALSIP; 
Sidetrade SA;XPAR;ALBFR; 
Signaux Girod SA;XPAR;ALGIR; 
SLB;XPAR;SLB; 
SMAIO SA;XPAR;ALSMA; 
Smart Good Things Holding SA;XPAR;MLSGT; 
SMCP SA;XPAR;SMCP; 
Societe Centrale des Bois et Scieries de la Manche;XPAR;CBSM; 
Societe De Conseil En Externalisation Et En Marketing Internet;XPAR;MLCMI; 
Societe de la Tour Eiffel SA;XPAR;EIFF; 
Societe Fonciere Lyonnaise SA;XPAR;FLY; 
Societe Francaise de Casinos SA;XPAR;SFCA; 
Societe Generale SA;XPAR;GLE; 
Societe Industrielle et Financiere de l'Artois SA;XPAR;ARTO; 
Societe O2I;XPAR;ALODI; 
Societe Pour L'Informatique Industrielle;XPAR;SII; 
Sodexo;XPAR;SW; 
Sodifrance SA;XPAR;SOA; 
Soditech SA;XPAR;SEC; 
Sofibus Patrimoine;XPAR;SFBS; 
Sofragi;XPAR;SOFR; 
Sogeclair SA;XPAR;SOG; 
Soitec SA;XPAR;SOI; 
Solocal Group SA;XPAR;LOCAL; 
Solutions 30 SE;XPAR;S30; 
Somfy SA;XPAR;SO; 
Sopra Steria Group SA;XPAR;SOP; 
