c;market;v;sector;group;industry
Scout24 SE;XETR;G24;Real Estate;Real Estate;Real Estate Services
SDM SE;XETR;75S;Industrials;Business Services;Security & Protection Services
Secunet Security Networks AG;XETR;YSN;Technology;Software;Software - Infrastructure
Sernova Corp;XETR;PSH;Healthcare;Biotechnology;Biotechnology
ServiceNow Inc;XETR;4S0;Technology;Software;Software - Application
Serviceware SE;XETR;SJJ;Technology;Software;Software - Application
SFC Energy AG;XETR;F3C;Industrials;Industrial Products;Specialty Industrial Machinery
SGL Carbon SE;XETR;SGL;Basic Materials;Chemicals;Chemicals
SGT German Private Equity GmbH & Co KGaA;XETR;SGF;Financial Services;Asset Management;Asset Management
Shareholder Value Beteiligungen AG;XETR;SVE;Financial Services;Asset Management;Asset Management
Shop Apotheke Europe NV;XETR;SAE;Healthcare;Healthcare Providers & Services;Pharmaceutical Retailers
Shs Viveon AG;XETR;SHWK;Technology;Software;Information Technology Services
Siemens AG;XETR;SIE;Industrials;Industrial Products;Specialty Industrial Machinery
Siemens Energy AG;XETR;ENR;Industrials;Industrial Products;Specialty Industrial Machinery
Siemens Healthineers AG;XETR;SHL;Healthcare;Medical Devices & Instruments;Medical Devices
Siltronic AG;XETR;WAF;Technology;Semiconductors;Semiconductors
Singulus Technologies AG;XETR;SNG;Industrials;Industrial Products;Specialty Industrial Machinery
Sino AG;XETR;XTP;Financial Services;Capital Markets;Capital Markets
Sirius XM Holdings Inc;XETR;RDO;Communication Services;Media - Diversified;Entertainment
Sixt SE;XETR;SIX2;Industrials;Business Services;Rental & Leasing Services
