c;market;v;isin
Greenyard;XBRU;GREEN; 
Groupe Bruxelles Lambert SA;XBRU;GBLB; 
Growners SA;XBRU;GROWN; 
Hamon & Cie (International) SA;XBRU;HAMO; 
Home Invest Belgium SA;XBRU;HOMI; 
Hybrid Software Group PLC;XBRU;HYSG; 
Hyloris Pharmaceuticals SA;XBRU;HYL; 
IEP Invest NV;XBRU;IEP; 
Immo Genk Zuid;XBRU;GENK; 
Immo Mechelen City Center NV;XBRU;MCC; 
Immo Moury SCA;XBRU;IMMOU; 
Immobel;XBRU;IMMO; 
Inclusio SA;XBRU;INCLU; 
Intel Corp;XBRU;INCO; 
International Business Machines Corp;XBRU;IBMA; 
Intervest Offices & Warehouses SA;XBRU;INTO; 
Ion Beam Applications SA;XBRU;IBAB; 
Jensen-Group NV;XBRU;JEN; 
KBC Ancora CVA;XBRU;KBCA; 
KBC Group SA/NV;XBRU;KBC; 
Keyware Technologies NV;XBRU;KEYW; 
Kinepolis Group NV;XBRU;KIN; 
Lotus Bakeries NV;XBRU;LOTB; 
Mazaro SA/NV;XBRU;MLMAZ; 
MDxHealth SA;XBRU;MDXH; 
Melexis NV;XBRU;MELE; 
Microsoft Corp;XBRU;MSF; 
Miko NV;XBRU;MIKO; 
Mithra Pharmaceuticals SA;XBRU;MITRA; 
Montea Comm.VA;XBRU;MONT; 
Mopoli;XBRU;MOP; 
Moury Construct SA;XBRU;MOUR; 
Newtree SA;XBRU;NEWT; 
Nextensa;XBRU;NEXTA; 
NV Bekaert SA;XBRU;BEKB; 
Nyrstar NV;XBRU;NYR; 
Nyxoah SA;XBRU;NYXH; 
Ontex Group NV;XBRU;ONTEX; 
Onward Medical NV;XBRU;ONWD; 
Orange Belgium SA;XBRU;OBEL; 
Oxurion NV;XBRU;OXUR; 
Payton Planar Magnetics;XBRU;PAY; 
PepsiCo Inc;XBRU;PEP; 
Picanol NV;XBRU;PIC; 
Proximus SA;XBRU;PROX; 
QRF SICAFI CVA;XBRU;QRF; 
Quest for Growth NV;XBRU;QFG; 
Realco SA;XBRU;REAL; 
Recticel SA;XBRU;RECT; 
Retail Estates SA;XBRU;RET; 
Rosier SA;XBRU;ENGB; 
Roularta Media Group NV;XBRU;ROU; 
Scheerders;XBRU;SCHD; 
Sequana Medical NV;XBRU;SEQUA; 
Shurgard Self Storage SA;XBRU;SHUR; 
Sioen Industries NV;XBRU;SIOE; 
Sipef SA;XBRU;SIP; 
Smartphoto Group;XBRU;SMAR; 
Soci̩t̩ Anonyme Belge de Constructions A̩ronaut;XBRU;SAB; 
Societe Commerciale de Brasserie;XBRU;COBH; 
Sofina SA;XBRU;SOF; 
Softimat SA;XBRU;SOFT; 
Solvac SA;XBRU;SOLV; 
Solvay SA;XBRU;SOLB; 
Spadel;XBRU;SPA; 
Telenet Group Holding NV;XBRU;TNET; 
Ter Beke;XBRU;TERB; 
Tessenderlo Group NV;XBRU;TESB; 
Texaf SA;XBRU;TEXF; 
TINC Comm. VA;XBRU;TINC; 
Titan Cement International SA;XBRU;TITC; 
UCB SA;XBRU;UCB; 
Umicore SA;XBRU;UMI; 
