c;market;v;isin
Tysnes Sparebank;XOSL;TYSB; 
Ultimovacs ASA;XOSL;ULTI; 
Veidekke ASA;XOSL;VEI; 
Vistin Pharma ASA;XOSL;VISTN; 
Volue ASA;XOSL;VOLUE; 
Voss Veksel- og Landmandsbank ASA;XOSL;VVL; 
Vow ASA;XOSL;VOW; 
Vow Green Metals AS;XOSL;VGM; 
Wallenius Wilhelmsen ASA;XOSL;WAWI; 
Waste Plastic Upcycling AS;XOSL;WPU; 
Webstep ASA;XOSL;WSTEP; 
Western Bulk Chartering AS;XOSL;WEST; 
Wilh. Wilhelmsen Holding ASA;XOSL;WWI; 
Wilson ASA;XOSL;WILS; 
Xplora Technologies AS;XOSL;XPLRA; 
XXL ASA;XOSL;XXL; 
Yara International ASA;XOSL;YAR; 
Zalaris ASA;XOSL;ZAL; 
Zenith Energy Ltd;XOSL;ZENA; 
Zwipe AS;XOSL;ZWIPE; 
