c;market;v;cat;subcat
Victoria Park AB;XSTO;VICP PREF.PFD;Real Estate;Real Estate
Viking Supply Ships AB;XSTO;VSSAB B;Industrials;Transportation
Vimab Group AB;XSTO;VIMAB;Industrials;Business Services
Vimian Group AB;XSTO;VIMIAN;Healthcare;Medical Diagnostics & Research
Vitec Software Group AB;XSTO;VIT B;Technology;Software
Vitrolife AB;XSTO;VITR;Healthcare;Medical Devices & Instruments
Viva Wine Group AB;XSTO;VIVA;Consumer Defensive;Beverages - Alcoholic
Vivesto AB;XSTO;VIVE;Healthcare;Drug Manufacturers
VNV Global AB;XSTO;VNV;Financial Services;Asset Management
Vo2 Cap Holding AB;XSTO;VO2;Financial Services;Asset Management
Volati AB;XSTO;VOLO;Industrials;Conglomerates
Volvo AB;XSTO;VOLV A;Industrials;Farm & Heavy Construction Machinery
Volvo Car AB;XSTO;VOLCAR B;Consumer Cyclical;Vehicles & Parts
W5 Solutions AB;XSTO;W5;Industrials;Aerospace & Defense
Wallenstam AB;XSTO;WALL B;Real Estate;Real Estate
Wastbygg Gruppen AB;XSTO;WBGR B;Industrials;Construction
Waystream Holding AB;XSTO;WAYS;Technology;Hardware
Westpay AB;XSTO;WPAY;Technology;Software
Wihlborgs Fastigheter AB;XSTO;WIHL;Real Estate;Real Estate
Wise Group AB;XSTO;WISE;Industrials;Business Services
Wyld Networks AB;XSTO;WYLD;Technology;Software
XANO Industri AB;XSTO;XANO B;Industrials;Industrial Products
Xbrane Biopharma AB;XSTO;XBRANE;Healthcare;Biotechnology
Xintela AB;XSTO;XINT;Healthcare;Biotechnology
XMReality AB;XSTO;XMR;Technology;Software
XP Chemistries AB;XSTO;XPC;Basic Materials;Chemicals
XSpray Pharma AB;XSTO;XSPRAY;Healthcare;Biotechnology
Xvivo Perfusion AB;XSTO;XVIVO;Healthcare;Medical Devices & Instruments
Zaplox AB;XSTO;ZAPLOX;Technology;Software
ZAZZ Energy of Sweden AB;XSTO;ZAZZ B;Utilities;Utilities - Independent Power Producers
ZetaDisplay AB;XSTO;ZETA PREF.PFD;Communication Services;Media - Diversified
Ziccum AB;XSTO;ZICC;Healthcare;Biotechnology
ZignSec AB;XSTO;ZIGN;Technology;Software
Zinzino Holding AB;XSTO;ZZ B;Consumer Defensive;Consumer Packaged Goods
Zordix AB;XSTO;ZORDIX B;Communication Services;Interactive Media
